dataset,split,class,signal_name,signal_path,mean_abs,min,max,labels,peak_groups
p0_yolo_clean_filt_trainval,val,2um,HFocusing_5_10_2um2_0_1001.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_2um2_0_1001.npy,0.030093883,-0.266220012,0.265017182,2um=2,3
p0_yolo_clean_filt_trainval,val,2um,HFocusing_5_10_2um2_0_1681.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_2um2_0_1681.npy,0.0241160542,-0.158135246,0.154276666,2um=3,4
p0_yolo_clean_filt_trainval,val,2um,HFocusing_5_10_2um2_0_254.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_2um2_0_254.npy,0.0325966174,-0.157371882,0.19282067,2um=3,4
p0_yolo_clean_filt_trainval,val,2um,HFocusing_5_10_2um2_0_983.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_2um2_0_983.npy,0.0295386521,-0.181531868,0.162060412,2um=1,2
p0_yolo_clean_filt_trainval,val,4um,HFocusing_5_10_4um_0_100.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_4um_0_100.npy,0.0310179123,-0.230742054,0.224138189,4um=1,2
p0_yolo_clean_filt_trainval,val,4um,HFocusing_5_10_4um_0_1610.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_4um_0_1610.npy,0.0260318284,-0.272867252,0.275945836,4um=1,3
p0_yolo_clean_filt_trainval,val,4um,HFocusing_5_10_4um_0_396.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_4um_0_396.npy,0.0451429319,-0.5126215,0.507424735,4um=1,1
p0_yolo_clean_filt_trainval,val,4um,HFocusing_5_10_4um_0_989.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_4um_0_989.npy,0.0601893657,-0.416163693,0.411024516,4um=4,4
p0_yolo_clean_filt_trainval,val,no_label,HFocusing_5_10_10um_0_1039.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_10um_0_1039.npy,0.0202792645,-0.0931701525,0.0825187543,,3
p0_yolo_clean_filt_trainval,val,no_label,HFocusing_5_10_10um_0_748.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_10um_0_748.npy,0.0198193742,-0.0868852416,0.0976775258,,4
p0_yolo_clean_filt_trainval,val,no_label,HFocusing_5_10_2um2_0_1982.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_2um2_0_1982.npy,0.0215394638,-0.109487466,0.0824653631,,4
p0_yolo_clean_filt_trainval,val,no_label,HFocusing_5_10_4um_0_90.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/val/signals/HFocusing_5_10_4um_0_90.npy,0.021956603,-0.0936472649,0.0947731504,,3
p0_yolo_clean_filt_trainval,test,10um,HFocusing_5_10_10um_0_1021.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_10um_0_1021.npy,0.0216764981,-0.116088347,0.0955283209,10um=1,2
p0_yolo_clean_filt_trainval,test,10um,HFocusing_5_10_10um_0_1608.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_10um_0_1608.npy,0.0287111852,-0.300314614,0.311339668,10um=1,3
p0_yolo_clean_filt_trainval,test,10um,HFocusing_5_10_10um_0_378.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_10um_0_378.npy,0.0527938644,-0.859613794,0.695661634,10um=2,2
p0_yolo_clean_filt_trainval,test,10um,HFocusing_5_10_10um_Calib_75.311_0_6.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_10um_Calib_75.311_0_6.npy,0.0233441581,-0.114289338,0.109832213,10um=2,4
p0_yolo_clean_filt_trainval,test,2um,HFocusing_5_10_2um2_0_1.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_2um2_0_1.npy,0.0298742844,-0.19943811,0.157575695,2um=1,4
p0_yolo_clean_filt_trainval,test,2um,HFocusing_5_10_2um2_0_1756.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_2um2_0_1756.npy,0.026823715,-0.161225179,0.142537371,2um=1,3
p0_yolo_clean_filt_trainval,test,2um,HFocusing_5_10_2um2_0_100.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_2um2_0_100.npy,0.0251596444,-0.146491905,0.153065314,2um=2,4
p0_yolo_clean_filt_trainval,test,2um,HFocusing_5_10_2um2_0_102.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_2um2_0_102.npy,0.0344794058,-0.535539078,0.509037702,2um=2,3
p0_yolo_clean_filt_trainval,test,4um,HFocusing_5_10_4um_0_1515.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_4um_0_1515.npy,0.0721244165,-0.50153521,0.472962151,4um=6,6
p0_yolo_clean_filt_trainval,test,4um,HFocusing_5_10_4um_0_335.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_4um_0_335.npy,0.0223864583,-0.095790039,0.0946654468,4um=1,2
p0_yolo_clean_filt_trainval,test,4um,HFocusing_5_10_4um_0_986.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_4um_0_986.npy,0.03876998,-0.432515851,0.404055766,4um=3,4
p0_yolo_clean_filt_trainval,test,4um,HFocusing_5_10_4um_0_1004.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_4um_0_1004.npy,0.0392597105,-0.461903263,0.406869606,4um=2,2
p0_yolo_clean_filt_trainval,test,no_label,HFocusing_5_10_10um_0_1012.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_10um_0_1012.npy,0.0218082505,-0.102319715,0.0980975361,,4
p0_yolo_clean_filt_trainval,test,no_label,HFocusing_5_10_2um2_0_1085.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_2um2_0_1085.npy,0.0219696796,-0.0838530369,0.113389686,,3
p0_yolo_clean_filt_trainval,test,no_label,HFocusing_5_10_2um2_0_2496.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_2um2_0_2496.npy,0.0213530957,-0.108017886,0.0891541411,,1
p0_yolo_clean_filt_trainval,test,no_label,HFocusing_5_10_4um_0_93.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_4um_0_93.npy,0.0208945081,-0.0842753933,0.100504773,,3
p1_yolo_clean_filt_4class_lim10,train,10um,HFocusing_5_10_10um_0_1.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_10um_0_1.npy,0.0632676577,-1.57670351,1.5455015,10um=1,3
p1_yolo_clean_filt_4class_lim10,train,10um,HFocusing_5_10_10um_0_1611.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_10um_0_1611.npy,0.0371605975,-0.964757446,1.03067768,10um=2,4
p1_yolo_clean_filt_4class_lim10,train,10um,HFocusing_5_10_10um_0_346.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_10um_0_346.npy,0.0284154639,-0.334179178,0.304511805,10um=1,2
p1_yolo_clean_filt_4class_lim10,train,10um,HFocusing_5_10_10um_0_1003.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_10um_0_1003.npy,0.151993216,-1.31088485,1.5520985,10um=1,2
p1_yolo_clean_filt_4class_lim10,train,2um,HFocusing_5_10_2um2_0_10.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_2um2_0_10.npy,0.0239380697,-0.133116795,0.148047788,2um=2,2
p1_yolo_clean_filt_4class_lim10,train,2um,HFocusing_5_10_2um2_0_1841.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_2um2_0_1841.npy,0.0311443491,-0.162215591,0.148233908,2um=1,3
p1_yolo_clean_filt_4class_lim10,train,2um,HFocusing_5_10_2um2_0_997.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_2um2_0_997.npy,0.0231306949,-0.0907579779,0.0950064152,2um=1,5
p1_yolo_clean_filt_4class_lim10,train,2um,HFocusing_5_10_2um2_0_1000.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_2um2_0_1000.npy,0.0257516138,-0.198101726,0.207640287,2um=1,1
p1_yolo_clean_filt_4class_lim10,train,4um,HFocusing_5_10_4um_0_1.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_4um_0_1.npy,0.0365572013,-0.408678297,0.383888842,4um=2,3
p1_yolo_clean_filt_4class_lim10,train,4um,HFocusing_5_10_4um_0_384.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_4um_0_384.npy,0.0552112562,-0.428062502,0.43424856,4um=1,2
p1_yolo_clean_filt_4class_lim10,train,4um,HFocusing_5_10_4um_0_995.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_4um_0_995.npy,0.0462061642,-0.681257443,0.893681818,4um=2,3
p1_yolo_clean_filt_4class_lim10,train,4um,HFocusing_5_10_4um_0_1000.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_4um_0_1000.npy,0.0772568469,-0.777205627,0.732935383,4um=4,4
p1_yolo_clean_filt_4class_lim10,train,no_label,HFocusing_5_10_10um_0_10.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_10um_0_10.npy,0.0205746008,-0.0765749805,0.101997617,,4
p1_yolo_clean_filt_4class_lim10,train,no_label,HFocusing_5_10_10um_0_942.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_10um_0_942.npy,0.0214341854,-0.0916710201,0.0836293664,,2
p1_yolo_clean_filt_4class_lim10,train,no_label,HFocusing_5_10_2um2_0_2235.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_2um2_0_2235.npy,0.020981241,-0.0834757329,0.082618153,,4
p1_yolo_clean_filt_4class_lim10,train,no_label,HFocusing_5_10_4um_0_79.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_4um_0_79.npy,0.0218206902,-0.0859404613,0.0941664296,,8
p1_yolo_clean_filt_4class_lim10,train,unclear,HFocusing_5_10_2um2_0_490.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_2um2_0_490.npy,0.0268421131,-0.170541611,0.136872829,unclear=1,3
p1_yolo_clean_filt_4class_lim10,train,unclear,HFocusing_5_10_10um_0_1016.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_10um_0_1016.npy,0.0276354478,-0.133011166,0.127661506,"10um=3, unclear=1",5
p1_yolo_clean_filt_4class_lim10,train,unclear,HFocusing_5_10_10um_0_1056.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_10um_0_1056.npy,0.0374755925,-0.462453431,0.390641407,10um=1,4
p1_yolo_clean_filt_4class_lim10,train,unclear,HFocusing_5_10_10um_0_1074.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/train/signals/HFocusing_5_10_10um_0_1074.npy,0.0320436414,-0.302865126,0.29938039,10um=1,2
p1_yolo_clean_filt_4class_lim10,val,10um,HFocusing_5_10_10um_0_100.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_10um_0_100.npy,0.0308852712,-1.16815323,1.12221424,10um=1,3
p1_yolo_clean_filt_4class_lim10,val,10um,HFocusing_5_10_10um_0_1674.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_10um_0_1674.npy,0.0428496033,-0.621806021,0.584034386,10um=1,1
p1_yolo_clean_filt_4class_lim10,val,10um,HFocusing_5_10_10um_Calib_75.311_0_1.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_10um_Calib_75.311_0_1.npy,0.0572649186,-0.753429568,1.02730271,10um=1,2
p1_yolo_clean_filt_4class_lim10,val,10um,HFocusing_5_10_10um_0_1068.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_10um_0_1068.npy,0.0359667428,-0.429069175,0.440980979,10um=1,4
p1_yolo_clean_filt_4class_lim10,val,2um,HFocusing_5_10_2um2_0_1667.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_2um2_0_1667.npy,0.0281793204,-0.19431438,0.209281378,2um=3,3
p1_yolo_clean_filt_4class_lim10,val,2um,HFocusing_5_10_2um2_0_254.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_2um2_0_254.npy,0.0325966174,-0.157371882,0.19282067,2um=3,4
p1_yolo_clean_filt_4class_lim10,val,2um,HFocusing_5_10_2um2_0_983.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_2um2_0_983.npy,0.0295386521,-0.181531868,0.162060412,2um=1,2
p1_yolo_clean_filt_4class_lim10,val,2um,HFocusing_5_10_2um2_0_1011.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_2um2_0_1011.npy,0.0289869165,-0.304725708,0.237753507,"2um=1, unclear=1",4
p1_yolo_clean_filt_4class_lim10,val,4um,HFocusing_5_10_4um_0_1610.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_4um_0_1610.npy,0.0260318284,-0.272867252,0.275945836,4um=1,3
p1_yolo_clean_filt_4class_lim10,val,4um,HFocusing_5_10_4um_0_989.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_4um_0_989.npy,0.0601893657,-0.416163693,0.411024516,4um=4,4
p1_yolo_clean_filt_4class_lim10,val,4um,HFocusing_5_10_4um_0_1008.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_4um_0_1008.npy,0.0512389728,-0.440785056,0.428468338,4um=4,4
p1_yolo_clean_filt_4class_lim10,val,4um,HFocusing_5_10_4um_0_1033.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_4um_0_1033.npy,0.0315975668,-0.50871358,0.486330853,4um=1,4
p1_yolo_clean_filt_4class_lim10,val,no_label,HFocusing_5_10_10um_0_1039.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_10um_0_1039.npy,0.0202792645,-0.0931701525,0.0825187543,,3
p1_yolo_clean_filt_4class_lim10,val,no_label,HFocusing_5_10_10um_0_748.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_10um_0_748.npy,0.0198193742,-0.0868852416,0.0976775258,,4
p1_yolo_clean_filt_4class_lim10,val,no_label,HFocusing_5_10_2um2_0_1982.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_2um2_0_1982.npy,0.0215394638,-0.109487466,0.0824653631,,4
p1_yolo_clean_filt_4class_lim10,val,no_label,HFocusing_5_10_4um_0_90.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_4um_0_90.npy,0.021956603,-0.0936472649,0.0947731504,,3
p1_yolo_clean_filt_4class_lim10,val,unclear,HFocusing_5_10_10um_0_1000.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_10um_0_1000.npy,0.0299577131,-0.212667226,0.191728334,10um=1,3
p1_yolo_clean_filt_4class_lim10,val,unclear,HFocusing_5_10_10um_0_101.npy,P1/yolo_dataset_Particles2SNR_F_c1_4class_lim10_trainval/val/signals/HFocusing_5_10_10um_0_101.npy,0.0293747621,-0.127897299,0.149692412,"10um=2, unclear=1",3
