comparison_type,split,class,filename,dataset,signal_name,signal_path,label_count,overlap_max,peak_group_count,mean_abs,min,max
unaligned_yolo_v3_reference,test,2um,2um_test_0002.npy,yolo_v3_old_pipeline,2um_test_0002.npy,P1/yolo_dataset_v3/test/signals/2um_test_0002.npy,1,1,0,0.102443937,-0.304632125,0.382945694
unaligned_yolo_v3_reference,test,2um,2um_test_0003.npy,yolo_v3_old_pipeline,2um_test_0003.npy,P1/yolo_dataset_v3/test/signals/2um_test_0003.npy,1,1,0,0.129666005,-0.324277227,0.409031755
aligned_p0_same_filename,test,4um,HFocusing_5_10_4um_0_1515.npy,p0_c1_particles2SNR,HFocusing_5_10_4um_0_1515.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_4um_0_1515.npy,13,3,0,0.0963458533,-0.567264692,0.476823301
aligned_p0_same_filename,test,4um,HFocusing_5_10_4um_0_1515.npy,p0_c1_clean_7_80khz,HFocusing_5_10_4um_0_1515.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_4um_0_1515.npy,6,2,6,0.0721244165,-0.50153521,0.472962151
aligned_p0_same_filename,test,4um,HFocusing_5_10_4um_0_335.npy,p0_c1_particles2SNR,HFocusing_5_10_4um_0_335.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_4um_0_335.npy,11,5,0,0.075290538,-0.229433262,0.352834003
aligned_p0_same_filename,test,4um,HFocusing_5_10_4um_0_335.npy,p0_c1_clean_7_80khz,HFocusing_5_10_4um_0_335.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_4um_0_335.npy,1,1,2,0.0223864583,-0.095790039,0.0946654468
aligned_p0_same_filename,test,4um,HFocusing_5_10_4um_0_986.npy,p0_c1_particles2SNR,HFocusing_5_10_4um_0_986.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_4um_0_986.npy,11,3,0,0.061626446,-0.485785774,0.45025417
aligned_p0_same_filename,test,4um,HFocusing_5_10_4um_0_986.npy,p0_c1_clean_7_80khz,HFocusing_5_10_4um_0_986.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_4um_0_986.npy,3,1,4,0.03876998,-0.432515851,0.404055766
aligned_p0_same_filename,test,4um,HFocusing_5_10_4um_0_1004.npy,p0_c1_particles2SNR,HFocusing_5_10_4um_0_1004.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_4um_0_1004.npy,15,4,0,0.0719862884,-0.451809393,0.575531631
aligned_p0_same_filename,test,4um,HFocusing_5_10_4um_0_1004.npy,p0_c1_clean_7_80khz,HFocusing_5_10_4um_0_1004.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_4um_0_1004.npy,2,1,2,0.0392597105,-0.461903263,0.406869606
unaligned_yolo_v3_reference,test,4um,4um_test_0000.npy,yolo_v3_old_pipeline,4um_test_0000.npy,P1/yolo_dataset_v3/test/signals/4um_test_0000.npy,3,1,0,0.0638447144,-0.469200147,0.474729976
unaligned_yolo_v3_reference,test,4um,4um_test_0001.npy,yolo_v3_old_pipeline,4um_test_0001.npy,P1/yolo_dataset_v3/test/signals/4um_test_0001.npy,1,1,0,0.0559167137,-0.438605303,0.538495882
unaligned_yolo_v3_reference,test,4um,4um_test_0002.npy,yolo_v3_old_pipeline,4um_test_0002.npy,P1/yolo_dataset_v3/test/signals/4um_test_0002.npy,2,1,0,0.0889737654,-0.72619695,0.512892906
unaligned_yolo_v3_reference,test,4um,4um_test_0003.npy,yolo_v3_old_pipeline,4um_test_0003.npy,P1/yolo_dataset_v3/test/signals/4um_test_0003.npy,2,1,0,0.0503747847,-0.340862846,0.284237305
aligned_p0_same_filename,test,10um,HFocusing_5_10_10um_0_1021.npy,p0_c1_particles2SNR,HFocusing_5_10_10um_0_1021.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_10um_0_1021.npy,13,6,0,1.63336751,-2.13340294,2.89041839
aligned_p0_same_filename,test,10um,HFocusing_5_10_10um_0_1021.npy,p0_c1_clean_7_80khz,HFocusing_5_10_10um_0_1021.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_10um_0_1021.npy,1,1,2,0.0216764981,-0.116088347,0.0955283209
aligned_p0_same_filename,test,10um,HFocusing_5_10_10um_0_1608.npy,p0_c1_particles2SNR,HFocusing_5_10_10um_0_1608.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_10um_0_1608.npy,4,3,0,0.794009643,-1.28785483,1.45665913
aligned_p0_same_filename,test,10um,HFocusing_5_10_10um_0_1608.npy,p0_c1_clean_7_80khz,HFocusing_5_10_10um_0_1608.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_10um_0_1608.npy,1,1,3,0.0287111852,-0.300314614,0.311339668
aligned_p0_same_filename,test,10um,HFocusing_5_10_10um_0_378.npy,p0_c1_particles2SNR,HFocusing_5_10_10um_0_378.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_10um_0_378.npy,13,4,0,1.12977091,-1.95627404,2.15808125
aligned_p0_same_filename,test,10um,HFocusing_5_10_10um_0_378.npy,p0_c1_clean_7_80khz,HFocusing_5_10_10um_0_378.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_10um_0_378.npy,2,1,2,0.0527938644,-0.859613794,0.695661634
aligned_p0_same_filename,test,10um,HFocusing_5_10_10um_Calib_75.311_0_6.npy,p0_c1_particles2SNR,HFocusing_5_10_10um_Calib_75.311_0_6.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_10um_Calib_75.311_0_6.npy,8,2,0,0.328828928,-0.764360026,0.0195118859
aligned_p0_same_filename,test,10um,HFocusing_5_10_10um_Calib_75.311_0_6.npy,p0_c1_clean_7_80khz,HFocusing_5_10_10um_Calib_75.311_0_6.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_10um_Calib_75.311_0_6.npy,2,1,4,0.0233441581,-0.114289338,0.109832213
unaligned_yolo_v3_reference,test,10um,10um_test_0000.npy,yolo_v3_old_pipeline,10um_test_0000.npy,P1/yolo_dataset_v3/test/signals/10um_test_0000.npy,1,1,0,1.3970875,-0.263570645,3.29555403
unaligned_yolo_v3_reference,test,10um,10um_test_0001.npy,yolo_v3_old_pipeline,10um_test_0001.npy,P1/yolo_dataset_v3/test/signals/10um_test_0001.npy,2,1,0,1.20630155,-0.937462644,3.05740003
unaligned_yolo_v3_reference,test,10um,10um_test_0002.npy,yolo_v3_old_pipeline,10um_test_0002.npy,P1/yolo_dataset_v3/test/signals/10um_test_0002.npy,1,1,0,0.133149273,-0.444080169,0.165078688
unaligned_yolo_v3_reference,test,10um,10um_test_0003.npy,yolo_v3_old_pipeline,10um_test_0003.npy,P1/yolo_dataset_v3/test/signals/10um_test_0003.npy,1,1,0,0.243523969,-0.510583703,0.761515432
aligned_p0_same_filename,test,2um,HFocusing_5_10_2um2_0_1.npy,p0_c1_particles2SNR,HFocusing_5_10_2um2_0_1.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_2um2_0_1.npy,17,5,0,0.100364302,-0.343278228,0.156061278
aligned_p0_same_filename,test,2um,HFocusing_5_10_2um2_0_1.npy,p0_c1_clean_7_80khz,HFocusing_5_10_2um2_0_1.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_2um2_0_1.npy,1,1,4,0.0298742844,-0.19943811,0.157575695
aligned_p0_same_filename,test,4um,HFocusing_5_10_4um_0_1515.npy,p0_c1_particles2SNR,HFocusing_5_10_4um_0_1515.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_4um_0_1515.npy,13,3,0,0.0963458533,-0.567264692,0.476823301
aligned_p0_same_filename,test,4um,HFocusing_5_10_4um_0_1515.npy,p0_c1_clean_7_80khz,HFocusing_5_10_4um_0_1515.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_4um_0_1515.npy,6,2,6,0.0721244165,-0.50153521,0.472962151
aligned_p0_same_filename,test,10um,HFocusing_5_10_10um_0_1021.npy,p0_c1_particles2SNR,HFocusing_5_10_10um_0_1021.npy,P0/data/dataset_particles2SNR_c1_yolo/test/signals/HFocusing_5_10_10um_0_1021.npy,13,6,0,1.63336751,-2.13340294,2.89041839
aligned_p0_same_filename,test,10um,HFocusing_5_10_10um_0_1021.npy,p0_c1_clean_7_80khz,HFocusing_5_10_10um_0_1021.npy,P0/data/dataset_Particles2SNR_F_c1_yolo_trainval/test/signals/HFocusing_5_10_10um_0_1021.npy,1,1,2,0.0216764981,-0.116088347,0.0955283209
